scope,libdays,distanceMajor,distanceMinor,distancePatch,releaseFrequencyPerMonth,numberOfMissedReleases,repository,packageIdent,version
dependencies,274,1,0,0,0.22809123649459784,1,/appcenter-cli,/jwa,1.4.1
dependencies,0,0,0,0,0.22641509433962265,0,/appcenter-cli,/ecdsa-sig-formatter,1.0.11
dependencies,162,0,0,3,0.6485825005098919,3,/appcenter-cli,/semver,7.6.0
dependencies,1458,5,0,0,0.8920286798819064,89,/appcenter-cli,/lru-cache,6.0.0
dependencies,125,0,2,1,0.3418540190945488,4,/appcenter-cli,/jszip,3.8.0
dependencies,0,0,0,0,0.8478653036680698,0,/appcenter-cli,/lie,3.3.0
dependencies,1452,2,5,2,0.6330935251798561,27,/appcenter-cli,/readable-stream,2.3.7
dependencies,1321,3,1,0,0.19169329073482427,4,/appcenter-cli,/p-limit,3.1.0
dependencies,358,0,1,0,0.17551755175517553,1,/appcenter-cli,/plist,3.0.6
dependencies,0,0,0,0,0.34609334032511796,0,/appcenter-cli,/pumpify,2.0.1
dependencies,959,0,0,1,0.33994334277620397,1,/appcenter-cli,/duplexify,4.1.2
dependencies,758,1,8,1,0.8903225806451613,19,/appcenter-cli,/rxjs,6.6.7
dependencies,0,0,0,0,0.13139885026006023,0,/appcenter-cli,/temp,0.9.4
dependencies,1546,0,2,1,0.6755373592630501,8,/appcenter-cli,/unzipper,0.10.11
dependencies,0,0,0,0,1.609442060085837,0,/appcenter-cli,/binary,0.3.0
dependencies,0,0,0,0,1.2980769230769231,0,/appcenter-cli,/chainsaw,0.1.0
dependencies,0,0,0,0,0.501453488372093,0,/appcenter-cli,/fstream,1.0.12
dependencies,748,1,1,0,0.34727143869596033,2,/appcenter-cli,/update-notifier,6.0.2
dependencies,761,1,0,0,0.38375439718580107,5,/appcenter-cli,/boxen,7.0.0
dependencies,853,2,2,0,0.22011617242433507,5,/appcenter-cli,/string-width,5.1.2
dependencies,624,0,1,0,0.1735106998264893,1,/appcenter-cli,/strip-ansi,7.0.1
dependencies,774,1,0,0,0.1905717151454363,2,/appcenter-cli,/wrap-ansi,8.0.1
dependencies,1195,1,0,0,0.24647887323943662,1,/appcenter-cli,/configstore,6.0.0
dependencies,1267,3,0,0,0.25520680551481373,8,/appcenter-cli,/dot-prop,6.0.1
dependencies,0,0,0,0,0.056144728633811605,0,/appcenter-cli,/unique-string,3.0.0
dependencies,399,1,0,0,0.14977533699450823,1,/appcenter-cli,/crypto-random-string,4.0.0
dependencies,1156,2,0,1,0.2953318513813909,5,/appcenter-cli,/write-file-atomic,3.0.3
dependencies,0,0,0,0,0.23076923076923075,0,/appcenter-cli,/is-ci,3.0.1
dependencies,1023,1,0,0,0.09036144578313253,1,/appcenter-cli,/is-installed-globally,0.4.0
dependencies,1028,1,0,0,0.11617900172117039,2,/appcenter-cli,/global-dirs,3.0.0
dependencies,613,2,0,0,0.1333703806612948,2,/appcenter-cli,/latest-version,7.0.0
dependencies,755,2,0,1,0.2852485737571312,4,/appcenter-cli,/package-json,8.1.0
dependencies,679,2,4,1,1.2892828364222402,17,/appcenter-cli,/got,12.3.0
dependencies,0,0,0,0,0.5494505494505495,0,/appcenter-cli,@szmarczak/http-timer,5.0.1
dependencies,504,1,0,1,0.12940330697340044,3,/appcenter-cli,@types/cacheable-request,6.0.2
