scope,libdays,distanceMajor,distanceMinor,distancePatch,releaseFrequencyPerMonth,numberOfMissedReleases,repository,packageIdent,version
dependencies,315,1,0,0,0.430622009569378,1,/bhima,/fetch-blob,3.2.0
dependencies,0,0,0,0,0.6790851214336241,0,/bhima,/svgo,3.3.2
dependencies,0,0,0,0,0.28419856006062905,0,/bhima,/css-select,5.1.0
dependencies,0,0,0,0,0.6169665809768637,0,/bhima,/css-tree,2.3.1
dependencies,40,0,0,2,2.2330527248560035,2,/bhima,/terser,5.31.1
dependencies,0,0,0,0,0.30882352941176466,0,/bhima,@jridgewell/source-map,0.3.6
dependencies,0,0,0,0,0.40059347181008903,0,/bhima,@jridgewell/gen-mapping,0.3.5
dependencies,0,0,0,0,1.4359637774902976,0,/bhima,@jridgewell/trace-mapping,0.3.25
dependencies,0,0,0,0,0.6137631742095474,0,/bhima,/source-map-support,0.5.21
dependencies,0,0,0,0,1.9044740024183797,0,/bhima,/ioredis,5.4.1
dependencies,0,0,0,0,1.093833780160858,0,/bhima,/json-2-csv,5.5.4
dependencies,0,0,0,0,0.6546336206896551,0,/bhima,/jsonwebtoken,9.0.2
dependencies,275,1,0,0,0.2733755942947702,1,/bhima,/jws,3.2.2
dependencies,274,1,0,0,0.22809123649459784,1,/bhima,/jwa,1.4.1
dependencies,0,0,0,0,0.34961900493052445,0,/bhima,/morgan,1.10.0
dependencies,-3,1,0,11,0.3349616189811584,12,/bhima,/multer,1.4.5-lts.1
dependencies,0,0,0,0,0.3785780240073869,0,/bhima,/busboy,1.6.0
dependencies,274,1,0,0,0.47619047619047616,1,/bhima,/concat-stream,1.6.2
dependencies,14,0,0,1,1.1906501095690285,1,/bhima,/mysql2,3.10.2
dependencies,0,0,0,0,0.22117962466487937,0,/bhima,/generate-function,2.3.1
dependencies,0,0,0,0,0.08835078534031414,0,/bhima,/named-placeholders,1.1.3
dependencies,602,2,2,0,0.2293577981651376,7,/bhima,/p-retry,4.6.2
dependencies,0,0,0,0,0.2388323750552853,0,/bhima,/stream-to-promise,3.0.0
dependencies,0,0,0,0,0.21146616541353383,0,/bhima,/end-of-stream,1.4.4
dependencies,0,0,0,0,0.14150943396226415,0,/bhima,/once,1.4.0
dependencies,845,2,1,0,0.1830065359477124,3,/bhima,/tempy,1.0.1
dependencies,463,1,1,0,0.24135876042908225,2,/bhima,/del,6.1.1
dependencies,904,3,0,2,0.40152963671128106,17,/bhima,/globby,11.1.0
dependencies,0,0,0,0,0.23659305993690852,0,/bhima,/dir-glob,3.0.1
dependencies,0,0,0,0,0.4672523961661342,0,/bhima,/fast-glob,3.3.2
dependencies,749,1,0,0,0.27308192457737324,1,/bhima,@nodelib/fs.walk,1.2.8
dependencies,784,1,0,0,0.2682798527091005,1,/bhima,@nodelib/fs.scandir,2.1.5
dependencies,0,0,0,0,0.20440881763527052,0,/bhima,/run-parallel,1.2.0
dependencies,0,0,0,0,0.23756731073804244,0,/bhima,/fastq,1.17.1
dependencies,207,1,0,2,0.19575856443719414,3,/bhima,/glob-parent,5.1.2
dependencies,0,0,0,0,0.19378280177634236,0,/bhima,/is-glob,4.0.3
dependencies,0,0,0,0,0.5887445887445888,0,/bhima,/micromatch,4.0.7
dependencies,0,0,0,0,0.3171428571428571,0,/bhima,/braces,3.0.3
dependencies,0,0,0,0,0.2857142857142857,0,/bhima,/fill-range,7.1.1
dependencies,0,0,0,0,0.40358744394618834,0,/bhima,/to-regex-range,5.0.1
dependencies,1489,3,0,2,0.19845644983461963,10,/bhima,/p-map,4.0.0
dependencies,1118,2,0,0,0.12905748924520924,3,/bhima,/aggregate-error,3.1.0
dependencies,1613,3,0,1,0.49581718016731274,30,/bhima,/rimraf,3.0.2
dependencies,785,4,0,0,0.9380710659898478,52,/bhima,/glob,7.2.3
dependencies,874,7,0,1,0.6960556844547564,62,/bhima,/minimatch,3.1.2
dependencies,2208,3,0,0,0.15047518479408659,4,/bhima,/brace-expansion,1.1.11
dependencies,707,1,0,0,0.056144728633811605,1,/bhima,/unique-string,2.0.0
dependencies,0,0,0,0,0.4759916492693111,0,/bhima,/winston,3.13.1
dependencies,0,0,0,0,0.1,0,/bhima,@dabh/diagnostics,2.0.3
dependencies,0,0,0,0,0.08985879332477535,0,/bhima,/colorspace,1.1.4
dependencies,260,1,2,3,0.36557501904036555,8,/bhima,/color,3.2.1
dependencies,356,1,0,1,0.35093582887700536,2,/bhima,/color-convert,1.9.3
dependencies,0,0,0,0,0.2727961606466279,0,/bhima,/color-string,1.9.1
dependencies,0,0,0,0,0.4,0,/bhima,/simple-swizzle,0.2.2
dependencies,270,0,0,1,0.3753026634382567,1,/bhima,/logform,2.6.0
dependencies,0,0,0,0,0.10632014176018902,0,/bhima,/one-time,1.0.0
dependencies,292,1,5,2,0.6330935251798561,10,/bhima,/readable-stream,3.6.2
dependencies,0,0,0,0,0.759493670886076,0,/bhima,@ima-worldhealth/coral,2.15.0
dependencies,20,0,1,1,1.7706821480406385,2,/bhima,/puppeteer,22.12.1
dependencies,0,0,0,0,0.5313351498637603,0,/bhima,/cosmiconfig,9.0.0
dependencies,0,0,0,0,0.16042780748663102,0,/bhima,/import-fresh,3.3.0
dependencies,1630,2,1,0,0.06449301325689717,3,/bhima,/parent-module,1.0.1
dependencies,0,0,0,0,0.6259055346276442,0,/bhima,/js-yaml,4.1.0
dependencies,1038,3,1,0,0.19749835418038184,9,/bhima,/parse-json,5.2.0
dependencies,0,0,0,0,0.3415559772296015,0,/bhima,@babel/code-frame,7.24.7
dependencies,0,0,0,0,0.4127134724857685,0,/bhima,@babel/highlight,7.24.7
dependencies,1635,3,3,0,0.29858999170583356,12,/bhima,/chalk,2.4.2
